,objectid,학명,국명,lon,lat,조사일자,조사년도,시도명
1048,8252,"Hydropotes inermis Swinhoe, 1870",고라니,128.436778,36.209472,2018-07-19,2018,경상북도
1049,35837,"Hydropotes inermis Swinhoe, 1870",고라니,128.593161,38.027994,2018-07-14,2018,강원도
1050,8253,"Hydropotes inermis Swinhoe, 1870",고라니,128.481722,36.229528,2018-07-21,2018,경상북도
1051,38191,"Hydropotes inermis Swinhoe, 1870",고라니,127.425716,35.552672,2018-04-26,2018,전라북도
1052,36170,"Hydropotes inermis Swinhoe, 1870",고라니,127.546296,35.958865,2018-05-24,2018,전라북도
1053,16549,"Hydropotes inermis Swinhoe, 1870",고라니,129.177076,37.033333,2018-11-06,2018,경상북도
1054,16552,"Hydropotes inermis Swinhoe, 1870",고라니,129.175041,37.01843,2018-11-06,2018,경상북도
1055,39041,"Hydropotes inermis Swinhoe, 1870",고라니,129.450728,36.698792,2018-11-07,2018,경상북도
1056,41936,"Hydropotes inermis Swinhoe, 1870",고라니,128.173433,36.963281,2018-10-07,2018,충청북도
1057,8257,"Hydropotes inermis Swinhoe, 1870",고라니,128.475806,36.231722,2018-07-21,2018,경상북도
1058,8260,"Hydropotes inermis Swinhoe, 1870",고라니,128.471694,36.229306,2018-07-21,2018,경상북도
1059,8264,"Hydropotes inermis Swinhoe, 1870",고라니,128.443722,36.210333,2018-09-08,2018,경상북도
1060,16561,"Hydropotes inermis Swinhoe, 1870",고라니,129.107022,37.106093,2018-07-19,2018,강원도
1061,36205,"Hydropotes inermis Swinhoe, 1870",고라니,127.639673,35.949107,2018-05-16,2018,전라북도
1062,16568,"Hydropotes inermis Swinhoe, 1870",고라니,129.100501,37.116553,2018-07-19,2018,강원도
1063,8269,"Hydropotes inermis Swinhoe, 1870",고라니,128.385833,36.125556,2018-07-18,2018,경상북도
1064,41640,"Hydropotes inermis Swinhoe, 1870",고라니,128.235597,36.3,2018-05-13,2018,경상북도
1065,16576,"Hydropotes inermis Swinhoe, 1870",고라니,129.10216,37.090673,2018-07-20,2018,경상북도
1066,8271,"Hydropotes inermis Swinhoe, 1870",고라니,127.379444,36.614444,2018-06-20,2018,충청북도
1067,41811,"Hydropotes inermis Swinhoe, 1870",고라니,129.037689,36.65205,2018-11-13,2018,경상북도
1068,8276,"Hydropotes inermis Swinhoe, 1870",고라니,127.411111,36.548333,2018-06-20,2018,충청북도
1069,43325,"Hydropotes inermis Swinhoe, 1870",고라니,128.710149,37.718747,2018-11-21,2018,강원도
1070,16587,"Hydropotes inermis Swinhoe, 1870",고라니,129.123966,37.106404,2018-12-01,2018,강원도
1071,41916,"Hydropotes inermis Swinhoe, 1870",고라니,128.151389,37.0145,2018-10-17,2018,충청북도
1072,16594,"Hydropotes inermis Swinhoe, 1870",고라니,129.055139,37.070353,2018-10-11,2018,강원도
1073,35518,"Hydropotes inermis Swinhoe, 1870",고라니,127.176365,34.475984,2018-05-07,2018,전라남도
1074,16601,"Hydropotes inermis Swinhoe, 1870",고라니,129.118981,37.156098,2018-11-19,2018,강원도
1075,8281,"Hydropotes inermis Swinhoe, 1870",고라니,127.385556,36.541111,2018-06-20,2018,세종특별자치시
1076,35610,"Hydropotes inermis Swinhoe, 1870",고라니,128.324472,38.053833,2018-03-30,2018,강원도
1077,8284,"Hydropotes inermis Swinhoe, 1870",고라니,127.400556,36.518889,2018-06-20,2018,세종특별자치시
1078,16612,"Hydropotes inermis Swinhoe, 1870",고라니,129.057923,37.136484,2018-10-10,2018,강원도
1079,8289,"Hydropotes inermis Swinhoe, 1870",고라니,127.428056,36.535556,2018-06-20,2018,충청북도
1080,43342,"Hydropotes inermis Swinhoe, 1870",고라니,128.659512,37.686778,2018-11-21,2018,강원도
1081,8292,"Hydropotes inermis Swinhoe, 1870",고라니,127.42,36.590556,2018-06-21,2018,충청북도
1082,16619,"Hydropotes inermis Swinhoe, 1870",고라니,129.069498,37.134487,2018-10-10,2018,강원도
1083,16623,"Hydropotes inermis Swinhoe, 1870",고라니,129.149996,37.138226,2018-09-15,2018,강원도
1084,39181,"Hydropotes inermis Swinhoe, 1870",고라니,126.185278,34.694167,2018-08-25,2018,전라남도
1085,8296,"Hydropotes inermis Swinhoe, 1870",고라니,127.450556,36.676389,2018-05-11,2018,충청북도
1086,38187,"Hydropotes inermis Swinhoe, 1870",고라니,127.420439,35.551206,2018-04-26,2018,전라북도
1087,16628,"Hydropotes inermis Swinhoe, 1870",고라니,129.144534,37.147417,2018-09-15,2018,강원도
1088,42968,"Hydropotes inermis Swinhoe, 1870",고라니,128.551722,38.145667,2018-05-19,2018,강원도
1089,24840,"Hydropotes inermis Swinhoe, 1870",고라니,128.640861,38.0906,2018-06-10,2018,강원도
1090,36534,"Hydropotes inermis Swinhoe, 1870",고라니,129.145864,36.558003,2018-04-18,2018,경상북도
1091,35621,"Hydropotes inermis Swinhoe, 1870",고라니,128.296083,38.025611,2018-03-31,2018,강원도
1092,16631,"Hydropotes inermis Swinhoe, 1870",고라니,129.153037,37.133445,2018-09-15,2018,강원도
1093,39449,"Hydropotes inermis Swinhoe, 1870",고라니,129.1194,36.493872,2018-05-23,2018,경상북도
1094,8297,"Hydropotes inermis Swinhoe, 1870",고라니,127.452222,36.671111,2018-05-11,2018,충청북도
1095,16642,"Hydropotes inermis Swinhoe, 1870",고라니,129.060272,37.102279,2018-05-30,2018,강원도
1096,37244,"Hydropotes inermis Swinhoe, 1870",고라니,126.901117,34.455272,2018-09-01,2018,전라남도
1097,16647,"Hydropotes inermis Swinhoe, 1870",고라니,129.048298,37.108556,2018-05-30,2018,강원도
1098,16650,"Hydropotes inermis Swinhoe, 1870",고라니,129.072726,37.116548,2018-05-30,2018,강원도
1099,39414,"Hydropotes inermis Swinhoe, 1870",고라니,129.137808,36.389719,2018-08-15,2018,경상북도
1100,16658,"Hydropotes inermis Swinhoe, 1870",고라니,129.077952,37.076302,2018-10-11,2018,경상북도
1101,16663,"Hydropotes inermis Swinhoe, 1870",고라니,129.074763,37.060521,2018-10-11,2018,경상북도
1102,39208,"Hydropotes inermis Swinhoe, 1870",고라니,128.353519,37.568143,2018-10-14,2018,강원도
1103,41484,"Hydropotes inermis Swinhoe, 1870",고라니,129.312186,36.567886,2018-08-30,2018,경상북도
1104,36216,"Hydropotes inermis Swinhoe, 1870",고라니,127.639758,35.946275,2018-05-16,2018,전라북도
1105,37237,"Hydropotes inermis Swinhoe, 1870",고라니,126.964342,34.499835,2018-09-01,2018,전라남도
1106,16664,"Hydropotes inermis Swinhoe, 1870",고라니,129.09383,37.079817,2018-07-20,2018,경상북도
1107,41569,"Hydropotes inermis Swinhoe, 1870",고라니,129.238264,36.610186,2018-04-18,2018,경상북도
1108,42778,"Hydropotes inermis Swinhoe, 1870",고라니,127.509431,38.055206,2018-04-26,2018,강원도
1109,39231,"Hydropotes inermis Swinhoe, 1870",고라니,128.298967,37.546829,2018-10-13,2018,강원도
1110,16669,"Hydropotes inermis Swinhoe, 1870",고라니,129.138944,37.101409,2018-11-30,2018,강원도
1111,35234,"Hydropotes inermis Swinhoe, 1870",고라니,127.209644,34.474846,2018-11-15,2018,전라남도
1112,38203,"Hydropotes inermis Swinhoe, 1870",고라니,127.475479,35.555335,2018-04-26,2018,전라북도
1113,41567,"Hydropotes inermis Swinhoe, 1870",고라니,129.237872,36.61065,2018-04-18,2018,경상북도
1114,4131,"Hydropotes inermis Swinhoe, 1870",고라니,127.281375,34.490211,2018-04-07,2018,전라남도
1115,43638,"Hydropotes inermis Swinhoe, 1870",고라니,128.910692,36.432975,2018-05-04,2018,경상북도
1116,38160,"Hydropotes inermis Swinhoe, 1870",고라니,127.424466,35.506051,2018-04-25,2018,전라북도
1117,42109,"Hydropotes inermis Swinhoe, 1870",고라니,128.826917,36.058139,2018-06-18,2018,경상북도
1118,36070,"Hydropotes inermis Swinhoe, 1870",고라니,127.58778,35.95538,2018-05-25,2018,전라북도
1119,39226,"Hydropotes inermis Swinhoe, 1870",고라니,128.300262,37.546517,2018-10-13,2018,강원도
1120,40273,"Hydropotes inermis Swinhoe, 1870",고라니,128.754778,36.037528,2018-11-01,2018,경상북도
1121,39299,"Hydropotes inermis Swinhoe, 1870",고라니,128.407278,37.584306,2018-06-24,2018,강원도
1122,36683,"Hydropotes inermis Swinhoe, 1870",고라니,126.670196,34.492399,2018-09-30,2018,전라남도
1123,39101,"Hydropotes inermis Swinhoe, 1870",고라니,128.919845,37.663184,2018-11-23,2018,강원도
1124,36661,"Hydropotes inermis Swinhoe, 1870",고라니,126.653325,34.508371,2018-11-17,2018,전라남도
1125,36489,"Hydropotes inermis Swinhoe, 1870",고라니,129.106308,36.652217,2018-11-13,2018,경상북도
1126,41584,"Hydropotes inermis Swinhoe, 1870",고라니,129.216506,36.525475,2018-11-14,2018,경상북도
